School Ward 2016-17,Sector,School name,Grade band,% Non-white 2014-15,% White 2014-15,% Non-white 2016-17,% White 2016-17,PK-12 Enrollment 2014-15,PK-12 Enrollment 2016-17,% living in School Ward 2016-17,% Change in Race/Ethnic Group between 2014-15 and 2016-17,% Change in Economic Group between 2014-15 and 2016-17
Ward 1,Charter,AppleTree Early Learning Center PCS Columbia Heights,Early Childhood,0.7899999999999999,0.21,0.8300000000000001,0.16,163.0,160.0,0.49,0.0,0.0
Ward 1,Charter,District of Columbia International School,Middle/High,0.87,0.13,0.85,0.15,210.0,520.0,0.22,0.0,0.0
Ward 1,Charter,EL Haynes PCS Middle School,Middle,0.95,0.05,0.98,0.02,377.0,348.0,0.23,1.0,0.0
Ward 1,Charter,Meridian PCS,Elementary/Middle,0.98,0.02,0.99,0.02,639.0,692.0,0.45,0.0,0.0
Ward 1,DCPS,Bancroft ES at Sharpe,Elementary,0.87,0.11,0.8399999999999999,0.16,508.0,530.0,0.77,0.0,0.0
Ward 1,DCPS,Bruce Monroe ES at Park View,Elementary,0.97,0.02,0.9500000000000001,0.05,465.0,473.0,0.55,0.0,1.0
Ward 1,DCPS,Cardozo EC,Middle/High,0.96,0.03,1.0,0.01,781.0,796.0,0.37,1.0,0.0
Ward 1,DCPS,Cleveland ES,Elementary,0.97,0.03,0.95,0.04,308.0,321.0,0.23,0.0,0.0
Ward 1,DCPS,Duke Ellington School of the Arts,High,0.92,0.08,0.94,0.06,523.0,502.0,0.08,0.0,0.0
Ward 1,DCPS,H D Cooke ES,Elementary,0.97,0.02,0.97,0.04,400.0,420.0,0.77,0.0,0.0
Ward 1,DCPS,Marie Reed ES at MacFarland,Elementary,0.92,0.07,0.88,0.12,393.0,398.0,0.56,0.0,0.0
Ward 1,DCPS,Tubman ES,Elementary,0.98,0.01,0.9600000000000001,0.04,498.0,542.0,0.83,0.0,0.0
Ward 2,Charter,BASIS DC PCS,Middle/High,0.6,0.4,0.62,0.39,551.0,597.0,0.08,1.0,0.0
Ward 2,DCPS,Garrison ES,Elementary,0.9,0.1,0.8700000000000001,0.13,244.0,253.0,0.21,0.0,0.0
Ward 2,DCPS,Hardy MS,Middle,0.86,0.13,0.8400000000000001,0.17,386.0,374.0,0.07,0.0,0.0
