timeframe,ward2012,NumOccupiedHsgUnits,NumOccupiedHsgUnits_m,ward2012_nf,start_date,end_date,PctSameHouse5YearsAgo,PctVacantHsgUnitsForRent,PctOwnerOccupiedHsgUnits,PctVacantHUForRent_m,PctOwnerOccupiedHU_m,mprice_sf,sales_sf,MedianMrtgInc1_4m_adj,NumMrtgOrigHomePurchPerUnit,PctSubprimeConvOrigHomePur,forecl_ssl_1Kpcl_sf_condo,forecl_ssl_sf_condo,trustee_ssl_1Kpcl_sf_condo,trustee_ssl_sf_condo,PctAnnChgRMPriceSf_1yr,PctAnnChgRMPriceSf_5yr,PctAnnChgRMPriceSf_10yr,indc,PctChgPrc
2000,Ward 1,30536,.,1,1-Jan-00,31-Dec-00,42,4.1,29,.,.,X,X,X,X,X,X,X,X,X,X,X,X,1,
2000,Ward 2,34001,.,2,1-Jan-00,31-Dec-00,30,3.5,32,.,.,X,X,X,X,X,X,X,X,X,X,X,X,1,
2000,Ward 3,37886,.,3,1-Jan-00,31-Dec-00,44,2.2,50,.,.,X,X,X,X,X,X,X,X,X,X,X,X,1,
2000,Ward 4,29195,.,4,1-Jan-00,31-Dec-00,62,6.7,61,.,.,X,X,X,X,X,X,X,X,X,X,X,X,1,
2000,Ward 5,28110,.,5,1-Jan-00,31-Dec-00,58,8.9,49,.,.,X,X,X,X,X,X,X,X,X,X,X,X,1,
2000,Ward 6,34034,.,6,1-Jan-00,31-Dec-00,50,5.2,40,.,.,X,X,X,X,X,X,X,X,X,X,X,X,1,
2000,Ward 7,28086,.,7,1-Jan-00,31-Dec-00,60,8.9,42,.,.,X,X,X,X,X,X,X,X,X,X,X,X,1,
2000,Ward 8,26490,.,8,1-Jan-00,31-Dec-00,52,11,22,.,.,X,X,X,X,X,X,X,X,X,X,X,X,1,
2000,Ward 1,X,.,1,1-Jan-00,31-Dec-00,X,X,X,X,X,154500,469,98753,116,0,18,178,5.4,54,.,.,.,1,418.6407767
2000,Ward 2,X,.,2,1-Jan-00,31-Dec-00,X,X,X,X,X,500000,288,124271,130,0,2.7,43,0.2,3,.,.,.,1,160
2000,Ward 3,X,.,3,1-Jan-00,31-Dec-00,X,X,X,X,X,455000,613,163354,80,0,1.2,26,0.3,6,.,.,.,1,157.6923077
2000,Ward 4,X,.,4,1-Jan-00,31-Dec-00,X,X,X,X,X,156750,738,101180,48,0,15,292,5,99,.,.,.,1,314.0350877
2000,Ward 5,X,.,5,1-Jan-00,31-Dec-00,X,X,X,X,X,124200,624,69788,46,0.1,25,419,9.6,159,.,.,.,1,338.8083736
