timeframe,ward2012,ward2012_nf,start_date,end_date,PctPoorPersons,PctPoorChildren,PctPoorElderly,AvgFamilyIncAdj,PctPoorPersons_m,PctPoorChildren_m,PctPoorElderly_m,AvgFamilyIncAdj_m,PctChgAvgFamilyIncAdj,Tanf_client,Fs_client
2012-16,Ward 1,1,01Jan2012,31Dec2016,14,25,19,134463,1.5,4.4,3.8,11508,X,X,X
2012-16,Ward 2,2,01Jan2012,31Dec2016,14,5.5,13,225994,1.4,5.8,4.1,24703,X,X,X
2012-16,Ward 3,3,01Jan2012,31Dec2016,9.4,2.8,3.9,281764,1.2,1.8,1.5,18626,X,X,X
2012-16,Ward 4,4,01Jan2012,31Dec2016,11,13,12,140497,1.3,2.3,2,8254,X,X,X
2012-16,Ward 5,5,01Jan2012,31Dec2016,18,18,17,97593,1.4,2.7,2.6,6156,X,X,X
2012-16,Ward 6,6,01Jan2012,31Dec2016,13,17,15,159151,1.3,3.5,2.7,9293,X,X,X
2012-16,Ward 7,7,01Jan2012,31Dec2016,28,41,19,62281,2.4,3.6,3,4556,X,X,X
2012-16,Ward 8,8,01Jan2012,31Dec2016,37,49,26,52422,2.3,2.5,3.7,4357,X,X,X
2000,Ward 1,1,01Jan2000,31Dec2000,22,35,26,83546,.,.,.,.,X,X,X
2000,Ward 2,2,01Jan2000,31Dec2000,18,24,19,211312,.,.,.,.,X,X,X
2000,Ward 3,3,01Jan2000,31Dec2000,7.4,2.9,4.4,269171,.,.,.,.,X,X,X
2000,Ward 4,4,01Jan2000,31Dec2000,12,16,11,117410,.,.,.,.,X,X,X
2000,Ward 5,5,01Jan2000,31Dec2000,20,28,16,78483,.,.,.,.,X,X,X
2000,Ward 6,6,01Jan2000,31Dec2000,21,35,25,92864,.,.,.,.,X,X,X
2000,Ward 7,7,01Jan2000,31Dec2000,25,37,18,64807,.,.,.,.,X,X,X
2000,Ward 8,8,01Jan2000,31Dec2000,35,46,23,51478,.,.,.,.,X,X,X
1990,Ward 1,1,01Jan1990,31Dec1990,21,31,28,69004,.,.,.,.,X,X,X
1990,Ward 2,2,01Jan1990,31Dec1990,17,18,18,179071,.,.,.,.,X,X,X
1990,Ward 3,3,01Jan1990,31Dec1990,6.5,2.4,4.5,237972,.,.,.,.,X,X,X
1990,Ward 4,4,01Jan1990,31Dec1990,8.2,8.9,12,110646,.,.,.,.,X,X,X
1990,Ward 5,5,01Jan1990,31Dec1990,15,19,18,80019,.,.,.,.,X,X,X
1990,Ward 6,6,01Jan1990,31Dec1990,19,29,27,91815,.,.,.,.,X,X,X
1990,Ward 7,7,01Jan1990,31Dec1990,20,31,18,67593,.,.,.,.,X,X,X
1990,Ward 8,8,01Jan1990,31Dec1990,27,38,25,54077,.,.,.,.,X,X,X
2012-16,Ward 1,1,01Jan2000,31Dec2016,X,X,X,X,X,X,X,X,61,X,X
2012-16,Ward 2,2,01Jan2000,31Dec2016,X,X,X,X,X,X,X,X,6.9,X,X
2012-16,Ward 3,3,01Jan2000,31Dec2016,X,X,X,X,X,X,X,X,4.7,X,X
2012-16,Ward 4,4,01Jan2000,31Dec2016,X,X,X,X,X,X,X,X,20,X,X
2012-16,Ward 5,5,01Jan2000,31Dec2016,X,X,X,X,X,X,X,X,24,X,X
2012-16,Ward 6,6,01Jan2000,31Dec2016,X,X,X,X,X,X,X,X,71,X,X
2012-16,Ward 7,7,01Jan2000,31Dec2016,X,X,X,X,X,X,X,X,-3.9,X,X
2012-16,Ward 8,8,01Jan2000,31Dec2016,X,X,X,X,X,X,X,X,1.8,X,X
2000,Ward 1,1,01Jan1990,31Dec2000,X,X,X,X,X,X,X,X,21,X,X
2000,Ward 2,2,01Jan1990,31Dec2000,X,X,X,X,X,X,X,X,18,X,X
2000,Ward 3,3,01Jan1990,31Dec2000,X,X,X,X,X,X,X,X,13,X,X
