Timeframe,Ward,Start Date,End Date,Housing Price
2000,Ward 1,01Jan2000,31Dec2000,154500
2000,Ward 2,01Jan2000,31Dec2000,500000
2000,Ward 3,01Jan2000,31Dec2000,455000
2000,Ward 4,01Jan2000,31Dec2000,156750
2000,Ward 5,01Jan2000,31Dec2000,124200
2000,Ward 6,01Jan2000,31Dec2000,159900
2000,Ward 7,01Jan2000,31Dec2000,93133
2000,Ward 8,01Jan2000,31Dec2000,96175
2016,Ward 1,01Jan2016,31Dec2016,801300
2016,Ward 2,01Jan2016,31Dec2016,1300000
2016,Ward 3,01Jan2016,31Dec2016,1172500
2016,Ward 4,01Jan2016,31Dec2016,649000
2016,Ward 5,01Jan2016,31Dec2016,545000
2016,Ward 6,01Jan2016,31Dec2016,759900
2016,Ward 7,01Jan2016,31Dec2016,299250
2016,Ward 8,01Jan2016,31Dec2016,288600
